,Fuel,Driven_kilometers,Num_of_owners,Transmission,Location,Name,Year,Company,Price1
362,Petrol,"38,602 km",1st Owner,AUTOMATIC,DL-6C,Maruti Alto K10,2017,Maruti,"3,27,099"
363,Petrol,"58,918 km",1st Owner,MANUAL,HR-36,Maruti Alto 800,2012,Maruti,"1,85,000"
364,Petrol,"15,661 km",1st Owner,MANUAL,UP-16,Honda City 1.5,2015,Honda,"6,10,000"
365,Diesel,"50,613 km",1st Owner,MANUAL,DL-8C,Maruti Swift Dzire,2014,Maruti,"3,50,000"
366,Diesel,"39,203 km",1st Owner,MANUAL,DL-9C,Maruti Ertiga VDI,2013,Maruti,"4,89,099"
367,Petrol,"10,339 km",1st Owner,MANUAL,HR-10,Hyundai VENUE 1.0L,2020,Hyundai,"10,25,000"
368,Petrol,"11,559 km",1st Owner,MANUAL,HR-26,Honda City ZX,2020,Honda,"13,43,799"
369,Petrol,"20,883 km",1st Owner,MANUAL,DL-2C,Maruti Swift Dzire,2012,Maruti,"3,65,000"
370,Petrol,"46,227 km",1st Owner,MANUAL,DL-3C,Maruti Alto 800,2016,Maruti,"2,50,299"
371,Petrol,"28,959 km",1st Owner,MANUAL,DL-8C,Maruti Alto 800,2018,Maruti,"3,28,499"
372,Petrol,"37,687 km",1st Owner,MANUAL,HR-51,Maruti IGNIS DELTA,2017,Maruti,"3,96,599"
373,Diesel,"60,020 km",1st Owner,MANUAL,DL-3C,Volkswagen Polo COMFORTLINE,2014,Volkswagen,"3,40,999"
374,Petrol,"69,228 km",1st Owner,MANUAL,HR-26,Chevrolet Spark LT,2012,Chevrolet,"1,22,000"
375,Diesel,"49,120 km",1st Owner,MANUAL,DL-3C,Maruti Swift Dzire,2012,Maruti,"3,56,899"
376,Petrol,"53,843 km",1st Owner,MANUAL,DL-1C,Maruti Baleno ZETA,2015,Maruti,"4,97,899"
377,Petrol,"9,114 km",1st Owner,MANUAL,DL-4C,Honda City V,2020,Honda,"10,63,399"
378,Diesel,"37,734 km",1st Owner,,DL-8C,Hyundai Elite i20,2014,Hyundai,"5,27,199"
379,Diesel,"51,981 km",1st Owner,MANUAL,DL-2C,Maruti Ertiga VDI,2013,Maruti,"4,81,399"
380,Diesel,"60,901 km",3rd Owner,MANUAL,DL-9C,Maruti Swift VDI,2014,Maruti,"3,91,799"
381,Diesel,"75,004 km",1st Owner,MANUAL,DL-9C,Maruti Swift Dzire,2012,Maruti,"2,96,299"
382,Petrol,"18,795 km",1st Owner,MANUAL,DL-6C,Hyundai Elite i20,2019,Hyundai,"6,83,656"
383,Diesel,"95,472 km",1st Owner,MANUAL,DL-8C,Maruti Swift Dzire,2012,Maruti,"2,89,099"
384,Diesel,"7,375 km",1st Owner,MANUAL,CH-01,KIA SONET HTK+,2020,KIA,"11,97,599"
385,Petrol,"52,641 km",1st Owner,MANUAL,DL-12,Hyundai i20 MAGNA,2013,Hyundai,"3,50,000"
386,Petrol,"39,760 km",1st Owner,MANUAL,DL-8C,Renault Kwid 1.0,2017,Renault,"2,32,000"
